Site,Transect Number,Date,Time,Meter,Point,Substrate,Living cover,Genus,Species
3,49,3/14/22,10:49 AM,6,11,rk,ta,,
3,49,3/14/22,10:49 AM,6,12,rk,ta,,
3,49,3/14/22,10:49 AM,6,13,rk,ta,,
3,49,3/14/22,10:49 AM,6,14,rk,ta,,
3,49,3/14/22,10:49 AM,6,15,rk,ta,,
3,49,3/14/22,10:49 AM,6,16,rk,ta,,
3,49,3/14/22,10:49 AM,8,1,rk,ta,,
3,49,3/14/22,10:49 AM,8,2,rk,ta,,
3,49,3/14/22,10:49 AM,8,3,rk,ta,,
3,49,3/14/22,10:49 AM,8,4,rk,ta,,
3,49,3/14/22,10:49 AM,8,5,rk,ta,,
3,49,3/14/22,10:49 AM,8,6,rk,ta,,
3,49,3/14/22,10:49 AM,8,7,rk,ta,,
3,49,3/14/22,10:49 AM,8,8,rk,ta,,
3,49,3/14/22,10:49 AM,8,9,rk,ta,,
3,49,3/14/22,10:49 AM,8,10,rk,ta,,
3,49,3/14/22,10:49 AM,8,11,rk,ta,,
3,49,3/14/22,10:49 AM,8,12,rk,ta,,
3,49,3/14/22,10:49 AM,8,13,rk,ta,,
3,49,3/14/22,10:49 AM,8,14,rk,ta,,
3,49,3/14/22,10:49 AM,8,15,rk,ta,,
3,49,3/14/22,10:49 AM,8,16,rk,ta,,
3,49,3/14/22,10:49 AM,10,1,rk,ta,,
3,49,3/14/22,10:49 AM,10,2,rk,ta,,
3,49,3/14/22,10:49 AM,10,3,rk,ta,,
3,49,3/14/22,10:49 AM,10,4,rk,ta,,
3,49,3/14/22,10:49 AM,10,5,rk,ta,,
3,49,3/14/22,10:49 AM,10,6,rk,ta,,
3,49,3/14/22,10:49 AM,10,7,rk,ta,,
3,49,3/14/22,10:49 AM,10,8,rk,ta,,
3,49,3/14/22,10:49 AM,10,9,rk,ta,,
3,49,3/14/22,10:49 AM,10,10,rk,ta,,
3,49,3/14/22,10:49 AM,10,11,rk,ta,,
3,49,3/14/22,10:49 AM,10,12,rk,ta,,
3,49,3/14/22,10:49 AM,10,13,rk,ta,,
3,49,3/14/22,10:49 AM,10,14,rk,ta,,
3,49,3/14/22,10:49 AM,10,15,rk,ta,,
3,49,3/14/22,10:49 AM,10,16,rk,ta,,
3,51,3/14/22,10:35 AM,0,1,s,no,,
3,51,3/14/22,10:35 AM,0,2,s,no,,
3,51,3/14/22,10:35 AM,0,3,s,no,,
3,51,3/14/22,10:35 AM,0,4,rb,ma,cy,uc
3,51,3/14/22,10:35 AM,0,5,rb,ma,cy,uc
3,51,3/14/22,10:35 AM,0,6,s,no,,
3,51,3/14/22,10:35 AM,0,7,s,no,,
3,51,3/14/22,10:35 AM,0,8,s,no,,
3,51,3/14/22,10:35 AM,0,9,rb,ma,cy,uc
3,51,3/14/22,10:35 AM,0,10,s,no,,
3,51,3/14/22,10:35 AM,0,11,s,no,,
3,51,3/14/22,10:35 AM,0,12,s,no,,
3,51,3/14/22,10:35 AM,0,13,s,no,,
3,51,3/14/22,10:35 AM,0,14,rb,ma,cy,uc
3,51,3/14/22,10:35 AM,0,15,rb,ma,cy,uc
3,51,3/14/22,10:35 AM,0,16,s,no,,
3,51,3/14/22,10:35 AM,2,1,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,2,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,3,s,no,,
3,51,3/14/22,10:35 AM,2,4,s,no,,
3,51,3/14/22,10:35 AM,2,5,rb,no,,
3,51,3/14/22,10:35 AM,2,6,s,no,,
3,51,3/14/22,10:35 AM,2,7,s,no,,
3,51,3/14/22,10:35 AM,2,8,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,9,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,10,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,11,s,no,,
3,51,3/14/22,10:35 AM,2,12,s,no,,
3,51,3/14/22,10:35 AM,2,13,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,14,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,15,s,ma,cy,uc
3,51,3/14/22,10:35 AM,2,16,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,1,s,no,,
3,51,3/14/22,10:35 AM,4,2,s,no,,
3,51,3/14/22,10:35 AM,4,3,s,no,,
3,51,3/14/22,10:35 AM,4,4,s,no,,
3,51,3/14/22,10:35 AM,4,5,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,6,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,7,s,no,,
3,51,3/14/22,10:35 AM,4,8,s,no,,
3,51,3/14/22,10:35 AM,4,9,s,no,,
3,51,3/14/22,10:35 AM,4,10,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,11,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,12,s,no,,
3,51,3/14/22,10:35 AM,4,13,s,no,,
3,51,3/14/22,10:35 AM,4,14,s,ma,cy,uc
3,51,3/14/22,10:35 AM,4,15,s,no,,
3,51,3/14/22,10:35 AM,4,16,s,no,,
3,51,3/14/22,10:35 AM,6,1,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,2,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,3,s,no,,
3,51,3/14/22,10:35 AM,6,4,s,no,,
3,51,3/14/22,10:35 AM,6,5,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,6,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,7,s,no,,
3,51,3/14/22,10:35 AM,6,8,s,no,,
3,51,3/14/22,10:35 AM,6,9,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,10,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,11,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,12,s,no,,
3,51,3/14/22,10:35 AM,6,13,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,14,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,15,s,ma,cy,uc
3,51,3/14/22,10:35 AM,6,16,s,ma,cy,uc
3,51,3/14/22,10:35 AM,8,1,s,no,,
3,51,3/14/22,10:35 AM,8,2,s,ma,,
3,51,3/14/22,10:35 AM,8,3,s,ma,,
3,51,3/14/22,10:35 AM,8,4,s,ma,,
3,51,3/14/22,10:35 AM,8,5,s,ma,,
3,51,3/14/22,10:35 AM,8,6,s,ma,,
3,51,3/14/22,10:35 AM,8,7,s,ma,,
3,51,3/14/22,10:35 AM,8,8,s,no,,
3,51,3/14/22,10:35 AM,8,9,s,ma,,
3,51,3/14/22,10:35 AM,8,10,s,ma,,
3,51,3/14/22,10:35 AM,8,11,s,ma,,
3,51,3/14/22,10:35 AM,8,12,s,ma,,
3,51,3/14/22,10:35 AM,8,13,s,ma,,
3,51,3/14/22,10:35 AM,8,14,s,ma,,
3,51,3/14/22,10:35 AM,8,15,s,ma,,
3,51,3/14/22,10:35 AM,8,16,s,no,,
3,51,3/14/22,10:35 AM,10,1,s,no,,
3,51,3/14/22,10:35 AM,10,2,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,3,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,4,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,5,s,no,,
3,51,3/14/22,10:35 AM,10,6,s,no,,
3,51,3/14/22,10:35 AM,10,7,s,no,,
3,51,3/14/22,10:35 AM,10,8,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,9,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,10,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,11,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,12,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,13,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,14,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,15,s,ma,cy,uc
3,51,3/14/22,10:35 AM,10,16,s,ma,cy,uc
3,33T,3/14/22,10:00 AM,0,1,rk,ta,,
3,33T,3/14/22,10:00 AM,0,2,rk,ta,,
3,33T,3/14/22,10:00 AM,0,3,rk,ta,,
3,33T,3/14/22,10:00 AM,0,4,rk,ta,,
3,33T,3/14/22,10:00 AM,0,5,rk,ta,,
3,33T,3/14/22,10:00 AM,0,6,rk,ta,,
3,33T,3/14/22,10:00 AM,0,7,rk,ta,,
3,33T,3/14/22,10:00 AM,0,8,rk,ta,,
3,33T,3/14/22,10:00 AM,0,9,rk,ta,,
3,33T,3/14/22,10:00 AM,0,10,rk,ta,,
3,33T,3/14/22,10:00 AM,0,11,rk,ta,,
3,33T,3/14/22,10:00 AM,0,12,rk,ta,,
3,33T,3/14/22,10:00 AM,0,13,rk,ta,,
3,33T,3/14/22,10:00 AM,0,14,rk,ta,,
3,33T,3/14/22,10:00 AM,0,15,rk,ta,,
3,33T,3/14/22,10:00 AM,0,16,rk,ta,,
3,33T,3/14/22,10:00 AM,2,1,rk,ta,,
3,33T,3/14/22,10:00 AM,2,2,rk,ta,,
3,33T,3/14/22,10:00 AM,2,3,rk,ta,,
3,33T,3/14/22,10:00 AM,2,4,rk,ta,,
3,33T,3/14/22,10:00 AM,2,5,rk,ta,,
3,33T,3/14/22,10:00 AM,2,6,rk,ta,,
3,33T,3/14/22,10:00 AM,2,7,rk,ta,,
3,33T,3/14/22,10:00 AM,2,8,rk,ta,,
3,33T,3/14/22,10:00 AM,2,9,rk,ta,,
3,33T,3/14/22,10:00 AM,2,10,rk,ta,,
3,33T,3/14/22,10:00 AM,2,11,rk,ta,,
3,33T,3/14/22,10:00 AM,2,12,rk,ta,,
3,33T,3/14/22,10:00 AM,2,13,rk,ta,,
3,33T,3/14/22,10:00 AM,2,14,rk,ta,,
3,33T,3/14/22,10:00 AM,2,15,rk,ta,,
3,33T,3/14/22,10:00 AM,2,16,rk,ta,,
3,33T,3/14/22,10:00 AM,4,1,rk,ta,,
3,33T,3/14/22,10:00 AM,4,2,rk,ta,,
3,33T,3/14/22,10:00 AM,4,3,rk,ta,,
3,33T,3/14/22,10:00 AM,4,4,rk,ta,,
3,33T,3/14/22,10:00 AM,4,5,rk,ta,,
3,33T,3/14/22,10:00 AM,4,6,rk,ta,,
3,33T,3/14/22,10:00 AM,4,7,rk,ta,,
3,33T,3/14/22,10:00 AM,4,8,rk,ta,,
3,33T,3/14/22,10:00 AM,4,9,rk,ta,,
3,33T,3/14/22,10:00 AM,4,10,rk,ta,,
3,33T,3/14/22,10:00 AM,4,11,rk,ta,,
3,33T,3/14/22,10:00 AM,4,12,rk,ta,,
3,33T,3/14/22,10:00 AM,4,13,rk,ta,,
3,33T,3/14/22,10:00 AM,4,14,rk,ta,,
3,33T,3/14/22,10:00 AM,4,15,rk,ca,,
3,33T,3/14/22,10:00 AM,4,16,rk,ca,,
3,33T,3/14/22,10:00 AM,6,1,rk,ta,,
3,33T,3/14/22,10:00 AM,6,2,rk,ta,,
3,33T,3/14/22,10:00 AM,6,3,rk,ta,,
3,33T,3/14/22,10:00 AM,6,4,rk,ta,,
3,33T,3/14/22,10:00 AM,6,5,rk,ta,,
3,33T,3/14/22,10:00 AM,6,6,rk,ta,,
3,33T,3/14/22,10:00 AM,6,7,rk,ta,,
3,33T,3/14/22,10:00 AM,6,8,rk,ta,,
3,33T,3/14/22,10:00 AM,6,9,rk,ta,,
3,33T,3/14/22,10:00 AM,6,10,rk,ta,,
3,33T,3/14/22,10:00 AM,6,11,rk,ta,,
3,33T,3/14/22,10:00 AM,6,12,rk,ta,,
3,33T,3/14/22,10:00 AM,6,13,rk,ta,,
3,33T,3/14/22,10:00 AM,6,14,rk,ta,,
3,33T,3/14/22,10:00 AM,6,15,rk,ta,,
3,33T,3/14/22,10:00 AM,6,16,rk,ta,,
3,33T,3/14/22,10:00 AM,8,1,rk,ta,,
3,33T,3/14/22,10:00 AM,8,2,rk,ta,,
3,33T,3/14/22,10:00 AM,8,3,rk,ta,,
3,33T,3/14/22,10:00 AM,8,4,rk,ta,,
3,33T,3/14/22,10:00 AM,8,5,rk,ta,,
3,33T,3/14/22,10:00 AM,8,6,rk,ta,,
3,33T,3/14/22,10:00 AM,8,7,rk,ta,,
3,33T,3/14/22,10:00 AM,8,8,rk,ta,,
3,33T,3/14/22,10:00 AM,8,9,rk,ta,,
3,33T,3/14/22,10:00 AM,8,10,rk,ta,,
3,33T,3/14/22,10:00 AM,8,11,rk,ta,,
3,33T,3/14/22,10:00 AM,8,12,rk,ta,,
3,33T,3/14/22,10:00 AM,8,13,rk,ta,,
3,33T,3/14/22,10:00 AM,8,14,rk,nm,ec,ma
3,33T,3/14/22,10:00 AM,8,15,rk,ta,,
3,33T,3/14/22,10:00 AM,8,16,rk,ta,,
3,33T,3/14/22,10:00 AM,10,1,rk,ta,,
3,33T,3/14/22,10:00 AM,10,2,rk,ta,,
3,33T,3/14/22,10:00 AM,10,3,rk,ta,,
3,33T,3/14/22,10:00 AM,10,4,rk,ta,,
3,33T,3/14/22,10:00 AM,10,5,rk,ta,,
3,33T,3/14/22,10:00 AM,10,6,rk,ta,,
3,33T,3/14/22,10:00 AM,10,7,rk,ta,,
3,33T,3/14/22,10:00 AM,10,8,rk,ta,,
3,33T,3/14/22,10:00 AM,10,9,rk,ta,,
3,33T,3/14/22,10:00 AM,10,10,rk,ta,,
3,33T,3/14/22,10:00 AM,10,11,rk,ta,,
3,33T,3/14/22,10:00 AM,10,12,rk,ta,,
3,33T,3/14/22,10:00 AM,10,13,rk,sc,Po,uc
3,33T,3/14/22,10:00 AM,10,14,rk,ta,,
3,33T,3/14/22,10:00 AM,10,15,rk,ta,,
3,33T,3/14/22,10:00 AM,10,16,rk,ta,,
3,15,3/14,9:47 AM,0,1,rk,no,,
3,15,3/14,9:47 AM,0,2,rk,ma,u,uc
3,15,3/14,9:47 AM,0,3,rk,ta,,
3,15,3/14,9:47 AM,0,4,rk,ta,,
3,15,3/14,9:47 AM,0,5,rk,no,,
3,15,3/14,9:47 AM,0,6,rk,ma,u,uc
3,15,3/14,9:47 AM,0,7,rk,ma,u,uc
3,15,3/14,9:47 AM,0,8,rk,ta,,
3,15,3/14,9:47 AM,0,9,rk,ta,,
3,15,3/14,9:47 AM,0,10,rk,ma,u,uc
3,15,3/14,9:47 AM,0,11,rk,ma,u,uc
3,15,3/14,9:47 AM,0,12,rk,no,,
3,15,3/14,9:47 AM,0,13,rk,ta,,
3,15,3/14,9:47 AM,0,14,rk,ta,,
3,15,3/14,9:47 AM,0,15,rk,no,,
3,15,3/14,9:47 AM,0,16,rk,mf,,
3,15,3/14,9:47 AM,2,1,rk,ta,,
3,15,3/14,9:47 AM,2,2,rk,ta,,
3,15,3/14,9:47 AM,2,3,rk,no,,
3,15,3/14,9:47 AM,2,4,rk,mf,,
3,15,3/14,9:47 AM,2,5,rk,ta,,
3,15,3/14,9:47 AM,2,6,rk,no,,
3,15,3/14,9:47 AM,2,7,rk,ta,,
3,15,3/14,9:47 AM,2,8,rk,no,,
3,15,3/14,9:47 AM,2,9,rk,ta,,
3,15,3/14,9:47 AM,2,10,rk,ta,,
3,15,3/14,9:47 AM,2,11,rk,ta,,
3,15,3/14,9:47 AM,2,12,rk,ma,ah,uc
3,15,3/14,9:47 AM,2,13,rk,ta,,
3,15,3/14,9:47 AM,2,14,rk,ta,,
3,15,3/14,9:47 AM,2,15,rk,ta,,
3,15,3/14,9:47 AM,2,16,rk,ta,,
3,15,3/14,9:47 AM,4,1,rk,ta,u,e
3,15,3/14,9:47 AM,4,2,rk,ta,,
3,15,3/14,9:47 AM,4,3,rk,ta,,
3,15,3/14,9:47 AM,4,4,rk,ta,,
3,15,3/14,9:47 AM,4,5,rk,ta,,
3,15,3/14,9:47 AM,4,6,rk,ta,,
3,15,3/14,9:47 AM,4,7,rk,ta,,
3,15,3/14,9:47 AM,4,8,rk,ta,,
3,15,3/14,9:47 AM,4,9,rk,ta,,
3,15,3/14,9:47 AM,4,10,rk,ta,,
3,15,3/14,9:47 AM,4,11,rk,ta,,
3,15,3/14,9:47 AM,4,12,rk,ma,u,e
3,15,3/14,9:47 AM,4,13,rk,ta,,
3,15,3/14,9:47 AM,4,14,rk,ta,,
3,15,3/14,9:47 AM,4,15,rk,ta,,
3,15,3/14,9:47 AM,4,16,rk,ta,,
3,15,3/14,9:47 AM,6,1,rk,ma,u,uc
3,15,3/14,9:47 AM,6,2,rk,no,,
3,15,3/14,9:47 AM,6,3,rk,no,,
3,15,3/14,9:47 AM,6,4,rk,ta,,
3,15,3/14,9:47 AM,6,5,rk,ma,u,uc
3,15,3/14,9:47 AM,6,6,rk,ta,,
3,15,3/14,9:47 AM,6,7,rk,ma,ah,uc
3,15,3/14,9:47 AM,6,8,rk,ta,,
3,15,3/14,9:47 AM,6,9,rk,ta,,
3,15,3/14,9:47 AM,6,10,rk,ma,u,uc
3,15,3/14,9:47 AM,6,11,rk,ta,,
3,15,3/14,9:47 AM,6,12,rk,ta,,
3,15,3/14,9:47 AM,6,13,rk,ma,u,uc
3,15,3/14,9:47 AM,6,14,rk,ta,,
3,15,3/14,9:47 AM,6,15,rk,ma,u,uc
3,15,3/14,9:47 AM,6,16,rk,ma,ah,uc
3,15,3/14,9:47 AM,8,1,rk,ta,,
3,15,3/14,9:47 AM,8,2,rk,ta,,
3,15,3/14,9:47 AM,8,3,rk,ta,,
3,15,3/14,9:47 AM,8,4,rk,ma,u,uc
3,15,3/14,9:47 AM,8,5,rk,ta,,
3,15,3/14,9:47 AM,8,6,rk,ta,,
3,15,3/14,9:47 AM,8,7,rk,ma,u,uc
3,15,3/14,9:47 AM,8,8,rk,ta,,
3,15,3/14,9:47 AM,8,9,rk,ta,,
3,15,3/14,9:47 AM,8,10,rk,ta,,
3,15,3/14,9:47 AM,8,11,rk,ta,,
3,15,3/14,9:47 AM,8,12,rk,ma,ah,uc
3,15,3/14,9:47 AM,8,13,rk,ma,u,uc
3,15,3/14,9:47 AM,8,14,rk,ma,ah,uc
3,15,3/14,9:47 AM,8,15,rk,ta,,
3,15,3/14,9:47 AM,8,16,rk,ta,,
3,15,3/14,9:47 AM,10,1,rk,ta,,
3,15,3/14,9:47 AM,10,2,rk,ta,,
3,15,3/14,9:47 AM,10,3,rk,no,,
3,15,3/14,9:47 AM,10,4,rk,ta,,
3,15,3/14,9:47 AM,10,5,rk,ta,,
3,15,3/14,9:47 AM,10,6,rk,ta,,
3,15,3/14,9:47 AM,10,7,rk,ta,,
3,15,3/14,9:47 AM,10,8,rk,ma,ah,uc
3,15,3/14,9:47 AM,10,9,rk,ma,ah,uc
3,15,3/14,9:47 AM,10,10,rk,ta,,
3,15,3/14,9:47 AM,10,11,rk,ta,,
3,15,3/14,9:47 AM,10,12,rk,ca,,
3,15,3/14,9:47 AM,10,13,rk,ta,,
3,15,3/14,9:47 AM,10,14,rk,ta,,
3,15,3/14,9:47 AM,10,15,rk,ta,,
3,15,3/14,9:47 AM,10,16,rk,ta,,
3,16,3/14/22,7:58 AM,0,1,rk,mf,,
3,16,3/14/22,7:58 AM,0,2,rk,ma,u,e
3,16,3/14/22,7:58 AM,0,3,rk,mf,,
3,16,3/14/22,7:58 AM,0,4,rk,mf,,
3,16,3/14/22,7:58 AM,0,5,rk,mf,,
3,16,3/14/22,7:58 AM,0,6,rk,mf,,
3,16,3/14/22,7:58 AM,0,7,rk,mf,,
3,16,3/14/22,7:58 AM,0,8,rk,mf,,
3,16,3/14/22,7:58 AM,0,9,rk,mf,,
3,16,3/14/22,7:58 AM,0,10,rk,no,,
3,16,3/14/22,7:58 AM,0,11,rk,no,,
3,16,3/14/22,7:58 AM,0,12,rk,no,,
3,16,3/14/22,7:58 AM,0,13,rk,no,,
3,16,3/14/22,7:58 AM,0,14,rk,no,,
3,16,3/14/22,7:58 AM,0,15,rk,no,,
3,16,3/14/22,7:58 AM,0,16,rk,no,,
3,16,3/14/22,7:58 AM,2,1,rk,ma,u,e
3,16,3/14/22,7:58 AM,2,2,rk,ma,u,e
3,16,3/14/22,7:58 AM,2,3,rk,ma,u,e
3,16,3/14/22,7:58 AM,2,4,rk,mf,,
3,16,3/14/22,7:58 AM,2,5,rk,mf,,
3,16,3/14/22,7:58 AM,2,6,rk,mf,,
3,16,3/14/22,7:58 AM,2,7,rk,mf,,
3,16,3/14/22,7:58 AM,2,8,rk,mf,,
3,16,3/14/22,7:58 AM,2,9,rk,no,,
3,16,3/14/22,7:58 AM,2,10,rk,no,,
3,16,3/14/22,7:58 AM,2,11,rk,ma,u,e
3,16,3/14/22,7:58 AM,2,12,rk,mf,,
3,16,3/14/22,7:58 AM,2,13,rk,no,,
3,16,3/14/22,7:58 AM,2,14,rk,mf,,
3,16,3/14/22,7:58 AM,2,15,rk,mf,,
3,16,3/14/22,7:58 AM,2,16,rk,mf,,
3,16,3/14/22,7:58 AM,4,1,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,2,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,3,rk,mf,,
3,16,3/14/22,7:58 AM,4,4,rk,mf,,
3,16,3/14/22,7:58 AM,4,5,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,6,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,7,rk,mf,,
3,16,3/14/22,7:58 AM,4,8,rk,mf,,
3,16,3/14/22,7:58 AM,4,9,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,10,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,11,rk,mf,,
3,16,3/14/22,7:58 AM,4,12,rk,mf,,
3,16,3/14/22,7:58 AM,4,13,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,14,rk,ma,u,e
3,16,3/14/22,7:58 AM,4,15,rk,mf,,
3,16,3/14/22,7:58 AM,4,16,rk,mf,,
3,16,3/14/22,7:58 AM,6,1,rk,mf,,
3,16,3/14/22,7:58 AM,6,2,rk,mf,,
3,16,3/14/22,7:58 AM,6,3,rk,mf,,
3,16,3/14/22,7:58 AM,6,4,rk,no,,
3,16,3/14/22,7:58 AM,6,5,rk,mf,,
3,16,3/14/22,7:58 AM,6,6,rk,mf,,
3,16,3/14/22,7:58 AM,6,7,rk,mf,,
3,16,3/14/22,7:58 AM,6,8,rk,no,,
3,16,3/14/22,7:58 AM,6,9,rk,no,,
3,16,3/14/22,7:58 AM,6,10,rk,ma,u,e
3,16,3/14/22,7:58 AM,6,11,rk,mf,,
3,16,3/14/22,7:58 AM,6,12,rk,mf,,
3,16,3/14/22,7:58 AM,6,13,rk,ma,u,e
3,16,3/14/22,7:58 AM,6,14,rk,ma,u,e
3,16,3/14/22,7:58 AM,6,15,rk,mf,,
3,16,3/14/22,7:58 AM,6,16,rk,mf,,
3,16,3/14/22,7:58 AM,8,1,rk,mf,,
3,16,3/14/22,7:58 AM,8,2,rk,mf,,
3,16,3/14/22,7:58 AM,8,3,rk,mf,,
3,16,3/14/22,7:58 AM,8,4,rk,mf,,
3,16,3/14/22,7:58 AM,8,5,rk,no,,
3,16,3/14/22,7:58 AM,8,6,rk,no,,
3,16,3/14/22,7:58 AM,8,7,rk,mf,,
3,16,3/14/22,7:58 AM,8,8,rk,mf,,
3,16,3/14/22,7:58 AM,8,9,rk,no,,
3,16,3/14/22,7:58 AM,8,10,rk,mf,,
3,16,3/14/22,7:58 AM,8,11,rk,mf,,
3,16,3/14/22,7:58 AM,8,12,rk,mf,,
3,16,3/14/22,7:58 AM,8,13,rk,mf,,
3,16,3/14/22,7:58 AM,8,14,rk,mf,,
3,16,3/14/22,7:58 AM,8,15,rk,mf,,
3,16,3/14/22,7:58 AM,8,16,rk,no,,
3,16,3/14/22,7:58 AM,10,1,rk,no,,
3,16,3/14/22,7:58 AM,10,2,rk,no,,
3,16,3/14/22,7:58 AM,10,3,rk,no,,
3,16,3/14/22,7:58 AM,10,4,rk,no,,
3,16,3/14/22,7:58 AM,10,5,rk,no,,
3,16,3/14/22,7:58 AM,10,6,rk,no,,
3,16,3/14/22,7:58 AM,10,7,rk,no,,
3,16,3/14/22,7:58 AM,10,8,rk,no,,
3,16,3/14/22,7:58 AM,10,9,rk,no,,
3,16,3/14/22,7:58 AM,10,10,rk,no,,
3,16,3/14/22,7:58 AM,10,11,rk,no,,
3,16,3/14/22,7:58 AM,10,12,rk,no,,
3,16,3/14/22,7:58 AM,10,13,rk,no,,
3,16,3/14/22,7:58 AM,10,14,rk,no,,
3,16,3/14/22,7:58 AM,10,15,rk,no,,
